Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;13;gfe we gon be up here for ever niggas wanna stop me that day gonna be never;f_er w_iy g_aa_n b_iy ah_p hh_ih_r f_ao_r eh_v_er n_ih_g_ae_s w_aa_n_ah s_t_aa_p m_iy dh_ae_t d_ey g_aa_n_ah b_iy n_eh_v_er
u;32;the game thats part of the plan hey Been on my Job I been on them Raws;dh_ah g_ey_m dh_ae_t_s p_aa_r_t ah_v dh_ah p_l_ae_n hh_ey b_ih_n aa_n m_ay jh_aa_b ay b_ah_n aa_n dh_eh_m R_ae_w_s
e;35;it over Balling hard in the O I feel like Mariota Twist it with the hash;ah_t ow_v_er b_ao_l_ih_ng hh_aa_r_d ih_n dh_ah ow ay f_iy_l l_ay_k M_ah_r_ih_oh_t_ax t_w_ih_s_t ih_t w_ih_dh dh_ah hh_ae_sh
h;33;never cigars Fuck with them hoes who got medical cards paint you da picture;n_eh_v_er s_ih_g_aa_r_z f_ah_k w_ih_dh dh_eh_m hh_ow_z hh_uw g_aa_t m_eh_d_ah_k_ah_l k_aa_r_d_z p_ey_n_t y_uw d_ae p_ih_k_ch_er
f;9;going deep I feel like Dez Bryant when she throw that ass Im making em;g_ow_ih_ng d_iy_p ay f_iy_l l_ay_k D_er_z b_r_ay_ah_n_t w_eh_n sh_iy th_r_ow dh_ae_t ae_s ay_m m_ey_k_ih_ng eh_m
l;29;pop that pussy like a Ollie if you got ass thats all that I need Im;p_aa_p dh_ae_t p_uh_s_iy l_ay_k ah aa_l_iy ah_f y_uw g_aa_t ae_s dh_ae_t_s ao_l dh_ah_t ay n_iy_d ay_m
g;39;smoke though I got it for the Lolo Im in love with that smoke though;s_m_ow_k dh_ow ay g_aa_t ih_t f_ao_r dh_ah L_oh_l_ax ih_m ih_n l_ah_v w_ih_dh dh_ae_t s_m_ow_k dh_ow
d;7;once A married bitch a terrorist he call her so much that her phone blow up;w_ah_n_s ah m_eh_r_iy_d b_ih_ch ah t_eh_r_er_ih_s_t hh_iy k_ao_l hh_er s_ow m_ah_ch dh_ae_t hh_er f_ow_n b_l_ow ah_p
a;16;moving Young Stephen King bitch Im making movies these niggas scared cause I;m_uw_v_ih_ng y_ah_ng s_t_iy_v_ah_n k_ih_ng b_ih_ch ay_m m_ey_k_ih_ng m_uw_v_iy_z dh_iy_z n_ih_g_ae_s s_k_eh_r_d k_aa_z ay
o;14;yeah I fuck her once then forget her then I pull up and upset her Yeah I;y_ae ay f_ah_k hh_er w_ah_n_s dh_eh_n f_ax_g_eh_t hh_er dh_eh_n ay p_uh_l ah_p ah_n_d ah_p_s_eh_t hh_er y_ae ay
c;30;breaking down weed Fuck what you mean fuck what you saying fuck with squad;b_r_ey_k_ih_ng d_aw_n w_iy_d f_ah_k w_ah_t y_uw m_iy_n f_ah_k w_ah_t y_uw s_ey_ih_ng f_ah_k w_ih_dh s_k_w_aa_d
r;20;for the trophy Nigga;f_ao_r dh_ah t_r_ow_f_iy N_ih_g_g_ae
a;1;she always tryna kick it I guess that could make me her sensei The fam go eat;sh_iy ao_l_w_iy_z t_r_ih_n_ah k_ih_k ah_t ay g_eh_s dh_ah_t k_uh_d m_ey_k m_iy hh_er s_eh_n_s_iy dh_ah f_ae_b_m g_ow iy_t
g;22;hv Gutter I don-t snort that Yolo Im in love with that smoke;ey_ch_v g_ah_t_er ay d_ow_n_t s_n_ao_r_t dh_ae_t Y_oh_l_ax ay_m ih_n l_ah_v w_ih_dh dh_ae_t s_m_ow_k
g;43;im in love with that smoke though don-t act like you don-t know hoe;ay_m ih_n l_ah_v w_ih_dh dh_ae_t s_m_ow_k dh_ow d_ow_n_t ae_k_t l_ay_k y_uw d_ow_n_t n_ow hh_ow
m;6;here with a bunch of them hoes who suck I got that bitch off of the pole for;hh_ih_r w_ih_dh ah b_ah_n_ch ah_v dh_eh_m hh_ow_z hh_uw s_ah_k ay g_aa_t dh_ae_t b_ih_ch ao_f ah_v dh_ah p_ow_l f_ao_r
c;3;tongue out all in that pussy I feel like MJ going for the win hey And I got;t_ah_ng aw_t ao_l ih_n_ch dh_ah_t p_uh_s_iy ay f_iy_l l_ay_k  g_ow_ah_n f_r_er dh_iy w_ih_n hh_ey ah_n_d ay g_aa_t
