Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
l;45;just my luck the bastard ain-t die;jh_ah_s_t m_ay l_ah_k dh_ah b_ae_s_t_er_d ey_n_t d_ay
i;21;but I couldn-t explain that to the state troops;b_ah_t ay k_uh_d_n_t ih_k_s_p_l_ey_n dh_ae_t t_uw dh_ah s_t_ey_t t_r_uw_p_s
r;42;my lawyer will be here with bail money in the mornin- ;m_ay l_ao_y_ax_r w_ah_l b_iy hh_ih_r w_ih_dh b_ey_l m_ah_n_iy ih_n dh_ah  m_ao_r_n_ih_ng_ae
a;12;think of the ass (kickin-) think of his ass flippin down the stairs;th_ih_ng_k ah_v dh_iy ae_s k_ih_k_iy_n_eh th_ih_ng_k ah_v hh_ah_z ae_s f_l_ih_p_ih_n d_aw_n dh_ah s_t_eh_r_z
f;17;now the cops (comin-) I ain-t runnin- ;n_aw dh_ah k_aa_p_s k_ow_m_ah_n_eh ay ey_n_t  r_ah_n_ih_ng_ae
i;64;this (is) for the constantly accused mentally abused;dh_ih_s ih_z f_ao_r dh_ah k_aa_n_s_t_ah_n_t_l_iy ah_k_y_uw_z_d m_eh_n_t_ah_l_iy ah_b_y_uw_z_d
c;28;he only had himself to blame;hh_iy ow_n_l_iy hh_ae_d hh_ih_m_s_eh_l_f t_uw b_l_ey_m
a;69;i ain-t used not one but there was two (missin-);ay ey_n_t y_uw_z_d n_ax_t w_ah_n b_ah_t dh_eh_r w_ah_z t_uw m_ih_s_iy_n_eh
l;78;he ain-t followed the guidelines;hh_iy ey_n_t f_aa_l_ow_d dh_ah g_ay_d_l_ay_n_z
a;41;yeah I bust at him once but that was just a (warnin-);y_ae ay b_ah_s_t ae_t hh_ih_m w_ah_n_s b_ah_t dh_ae_t w_ah_z jh_ah_s_t ah w_ao_r_n_iy_n_eh
i;20;in word the couldn-t take the abuse;ih_n_ch w_er_d dh_iy k_uh_d_n_t t_ey_k dh_iy ah_b_y_uw_s
c;66;or have you felt you caught the worse case;ao_r hh_ae_v y_uw f_eh_l_t y_uw k_aa_t dh_ah w_er_s k_ey_s
c;51;i do a bid cause ain-t no way;ay d_uw ah b_ih_d k_aa_z ey_n_t n_ow w_ey
m;7;if you-d-ve been there if you-d-ve seen it;ah_f ih_ax_ao b_ih_n dh_eh_r ah_f ih_ax_ao s_iy_n ih_t
c;35;i think that you would have done the same;ay th_ih_ng_k dh_ae_t y_uw w_uh_d hh_ae_v d_ah_n dh_ah s_ey_m
h;76;so explain that just came back off a trip;s_ow ih_k_s_p_l_ey_n dh_ae_t jh_ah_s_t k_ey_m b_ae_k ao_f ah t_r_ih_p
c;8;i think that you would have done the same;ay th_ih_ng_k dh_ae_t y_uw w_uh_d hh_ae_v d_ah_n dh_ah s_ey_m
b;11;why was she takin that Now picture her fightin back;w_ay w_ah_z sh_iy t_ae_k_iy_m dh_ae_t n_aw p_ih_k_ch_er hh_er f_ay_t_iy_n b_ae_k
m;88;if you-d-ve been there if you-d-ve seen it;ah_f ih_ax_ao b_ih_n dh_eh_r ah_f ih_ax_ao s_iy_n ih_t
e;25;i just needed you to know Your Honor;ay jh_ah_s_t n_iy_d_ah_d y_uw t_uw n_ow y_ao_r aa_n_er
l;75;it might sound cruel but you gotta love the irony;ih_t m_ay_t s_aw_n_d k_r_uw_ah_l b_ah_t y_uw g_aa_t_ah l_ah_v dh_ah ay_r_ah_n_iy
m;56;if you-d-ve been there if you-d-ve seen it;ah_f ih_ax_ao b_ih_n dh_eh_r ah_f ih_ax_ao s_iy_n ih_t
m;61;if you-d-ve been there if you-d-ve seen it;ah_f ih_ax_ao b_ih_n dh_eh_r ah_f ih_ax_ao s_iy_n ih_t
e;40;keep your jumpsuit Im rockin Armani;k_iy_p y_ao_r jh_ah_m_p_s_uw_t ay_m r_aa_k_iy_n aa_r_m_aa_n_iy
h;50;him threatenin to kill me when I threaten to leave him;hh_ih_m th_r_eh_t_ah_n_iy_n t_uw k_ih_l m_iy w_eh_n ay th_r_eh_t_ah_n t_uw l_iy_v hh_ih_m
b;1;no I gotta speak on my behalf;n_ow ay g_aa_t_ah s_p_iy_k aa_n m_ay b_ah_hh_ae_f
m;34;if you-d-ve been there if you-d-ve seen it;ah_f ih_ax_ao b_ih_n dh_eh_r ah_f ih_ax_ao s_iy_n ih_t
c;62;i think that you would have done the same;ay th_ih_ng_k dh_ae_t y_uw w_uh_d hh_ae_v d_ah_n dh_ah s_ey_m
b;2;you don-t even know what happened;y_uw d_ow_n_t iy_v_ah_n n_ow w_ah_t hh_ae_p_ah_n_d
a;86;he had it (comin-);hh_iy hh_ae_d ih_t k_ow_m_ah_n_eh
c;89;i think that you would have done the same;ay th_ih_ng_k dh_ae_t y_uw w_uh_d hh_ae_v d_ah_n dh_ah s_ey_m
e;68;why am I (flippin-) I just bought them condoms;w_ay ae_m ay f_l_ih_p_ih_n_eh ay jh_ah_s_t b_aa_t dh_eh_m k_aa_n_d_ah_m_z
c;52;gonna do me like Ike and OJ;g_aa_n_ah d_uw m_iy l_ay_k ay_k ah_n_d ow_jh_ey
a;59;he had it (comin-);hh_iy hh_ae_d ih_t k_ow_m_ah_n_eh
a;16;high heels leave holes you-d-a thought I was (gunnin-);hh_ay hh_iy_l_z l_iy_v hh_ow_l_z ih_ax_ao th_ao_t ay w_ah_z g_ah_n_iy_n_eh
g;49;fuck that Im sick of bobbin and weavin- ;f_ah_k dh_ae_t ay_m s_ih_k ah_v b_aa_b_ah_n ah_n_d  w_iy_v_ih_ng_ae
h;19;before the cops came got a couple of clean hits;b_ah_f_ao_r dh_ah k_aa_p_s k_ey_m g_aa_t ah k_ah_p_ah_l ah_v k_l_iy_n hh_ih_t_s
a;71;if he only use Coast you shouldn-t smell Lever;ah_f hh_iy ow_n_l_iy y_uw_s k_ow_s_t y_uw sh_uh_d_ah_n_t s_m_eh_l l_eh_v_er
c;55;he only had himself to blame;hh_iy ow_n_l_iy hh_ae_d hh_ih_m_s_eh_l_f t_uw b_l_ey_m
s;74;run up on him quietly choke him out silently;r_ah_n ah_p aa_n hh_ih_m k_w_ay_ah_t_l_iy ch_ow_k hh_ih_m aw_t s_ay_l_ah_n_t_l_iy
e;38;take the mug shot hurry up the fingerprints what the blood clot;t_ey_k dh_ah m_ah_g sh_aa_t hh_er_iy ah_p dh_ah f_ih_ng_g_er_p_r_ih_n_t_s w_ah_t dh_ah b_l_ah_d k_l_aa_t
a;24;this the story Im tellin and I ain-t changin (nothin-);dh_ih_s dh_ah s_t_ao_r_iy ay_m t_eh_l_iy_n ah_n_d ay ey_n_t ch_ae_ng_iy_n n_ah_th_ah_n_eh
