Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;5;about the clothes on your back;ah_b_aw_t dh_ah k_l_ow_dh_z aa_n y_ao_r b_ae_k
e;13;vanity (is) not allowed where we are from;v_ae_n_ah_t_iy ih_z n_ax_t ah_l_aw_d w_eh_r w_iy aa_r f_r_ah_m
f;22;leaning on me ni99a please no Morgan Freeman;l_iy_n_ih_ng aa_n m_iy n_iy_9_ax p_l_iy_z n_ow m_ao_r_g_ah_n f_r_iy_m_ah_n
f;20;i stay dreaming stay believing that one day Id see the ceiling;ay s_t_ey d_r_iy_m_ih_ng s_t_ey b_ah_l_iy_v_ih_ng dh_ae_t w_ah_n d_ey ay_d s_iy dh_ah s_iy_l_ih_ng
a;16;take EVERYTHING;t_ey_k eh_v_r_iy_th_ih_ng
g;29;but For that I got ta thank yuh Now my solders will out flank yuh;b_ah_t f_ao_r dh_ae_t ay g_aa_t t_aa th_ae_ng_k y_uw_ae n_aw m_ay s_aa_d_er_z w_ah_l aw_t f_l_ae_ng_k y_uw_ae
d;25;i will scream that shit out loud;ay w_ah_l s_k_r_iy_m dh_ae_t sh_iy_t aw_t l_aw_d
a;2;you told me you would be nothing like them;y_uw t_ow_l_d m_iy y_uw w_uh_d b_iy n_ah_th_ih_ng l_ay_k dh_eh_m
d;24;im Caribbean and Im proud;ay_m k_er_ih_b_iy_ah_n ah_n_d ay_m p_r_aw_d
c;7;the shoes on your feet how many friends you have;dh_ah sh_uw_z aa_n y_ao_r f_iy_t hh_aw m_eh_n_iy f_r_eh_n_d_z y_uw hh_ae_v
o;23;see cause If you ain-t the shit then you must be European;s_iy k_aa_z ah_f y_uw ey_n_t dh_ah sh_iy_t dh_eh_n y_uw m_ah_s_t b_iy y_uh_r_ah_p_iy_ah_n
e;15;warriors who take everything and give them nothing;w_ao_r_iy_er_z hh_uw t_ey_k eh_v_r_iy_th_ih_ng ah_n_d g_ih_v dh_eh_m n_ah_th_ih_ng
a;6;the clothes You wear;dh_ah k_l_ow_dh_z y_uw w_eh_r
