Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;14;late at night a lover sings;l_ey_t ae_t n_ay_t ah l_ah_v_er s_ih_ng_z
h;10;the way you took it amazed me;dh_ah w_ey y_uw t_uh_k ih_t ah_m_ey_z_d m_iy
a;15;Adam and eve are finding out all about love;ae_d_ah_m ah_n_d iy_v aa_r f_ay_n_d_ih_ng aw_t ao_l ah_b_aw_t l_ah_v
c;2;when I think of all the time that I spent;hh_w_ih_n ay th_ih_ng_k ah_v ao_l dh_ah t_ay_m dh_ae_t ay s_p_eh_n_t
g;33;and your tights around your ankles;ah_n_d y_ao_r t_ay_t_s er_aw_n_d y_ao_r ae_ng_k_ah_l_z
c;8;its things like this that remind me of how I felt;ih_t_s th_ih_ng_z l_ay_k dh_ih_s dh_ae_t r_iy_m_ay_n_d m_iy ah_v hh_aw ay f_eh_l_t
e;25;it doesn-t matter the colour of the car;ih_t d_ah_z_n_t m_ae_t_er dh_ah k_ah_l_ax ah_v dh_ah k_aa_r
f;19;for a ball struck squarely and firmly;f_ao_r ah b_ao_l s_t_r_ah_k s_k_w_eh_r_l_iy ah_n_d f_er_m_l_iy
b;3;sitting on the edge of your bed in anticipation;s_ih_t_ih_ng aa_n dh_ah eh_jh ah_v y_ao_r b_eh_d ih_n ae_n_t_ih_s_ah_p_ey_sh_ah_n
n;29;wedding cake and toothache;w_eh_d_ih_ng k_ey_k ah_n_d t_uw_th_ha_ey_k
i;18;there (is) no real substitute;dh_eh_r ih_z n_ow r_iy_l s_ah_b_s_t_ah_t_uw_t
o;30;equals love and pain;iy_k_w_ah_l_z l_ah_v ah_n_d p_ey_n
a;36;i say adam and eve are finding out all about love;ay s_ey ae_d_ah_m ah_n_d iy_v aa_r f_ay_n_d_ih_ng aw_t ao_l ah_b_aw_t l_ah_v
a;39;Teresa and steve are finding out all about love;t_er_iy_s_ah ah_n_d s_t_iy_v aa_r f_ay_n_d_ih_ng aw_t ao_l ah_b_aw_t l_ah_v
b;1;that lost a lot in the translation;dh_ah_t l_ao_s_t ey l_aa_t ih_n_ch dh_iy t_r_ae_n_z_l_ey_sh_ah_n
h;37;Adam and eve are finding out all about;ae_d_ah_m ah_n_d iy_v aa_r f_ay_n_d_ih_ng aw_t ao_l ah_b_aw_t
a;35;Adam and eve are finding out all about love;ae_d_ah_m ah_n_d iy_v aa_r f_ay_n_d_ih_ng aw_t ao_l ah_b_aw_t l_ah_v
l;20;and youre the kind of girl who wants to;ah_n_d y_uw_r dh_ah k_ay_n_d ah_v g_er_l hh_uw w_aa_n_t_s t_uw
e;32;walking in the park kissing on the carpet;w_ao_k_ih_ng ih_n dh_ah p_aa_r_k k_ih_s_ih_ng aa_n dh_ah k_aa_r_p_ah_t
d;4;of you giving in and us living in sin;ah_v y_uw g_ih_v_ih_ng ih_n_ch ah_n_d ah_s l_ih_v_ih_ng ih_n s_ih_n
a;16;i say adam and eve are finding out all about love;ay s_ey ae_d_ah_m ah_n_d iy_v aa_r f_ay_n_d_ih_ng aw_t ao_l ah_b_aw_t l_ah_v
a;38;Adam and eve are finding out all about love;ae_d_ah_m ah_n_d iy_v aa_r f_ay_n_d_ih_ng aw_t ao_l ah_b_aw_t l_ah_v
e;26;but what goes on beneath the bonnet;b_ah_t w_ah_t g_ow_z aa_n b_ah_n_iy_th dh_ah b_aa_n_ah_t
h;7;and the sound of a shower running softly;ah_n_d dh_ah s_aw_n_d ah_v ah sh_aw_er r_ah_n_ih_ng s_ao_f_t_l_iy
e;27;(is) there a flag that flies above your heart;ih_z dh_eh_r ah f_l_ae_g dh_ae_t f_l_ay_z ah_b_ah_v y_ao_r hh_aa_r_t
e;21;open up the bottle of pop;ow_p_ah_n ah_p dh_ah b_aa_t_ah_l ah_v p_aa_p
e;12;walking in the park kissing in the dark;w_ao_k_ih_ng ih_n dh_ah p_aa_r_k k_ih_s_ih_ng ih_n dh_ah d_aa_r_k
c;6;a hot day the smell of hairspray;ah hh_aa_t d_ey dh_ah s_m_eh_l ah_v hh_eh_r_s_p_r_ey
m;28;and (is) my name writ there upon it;ah_n_d ih_z m_ay n_ey_m r_ih_t dh_eh_r ah_p_aa_n ih_t
d;34;late at night a lover thinks of these things;l_ey_t ae_t n_ay_t ah l_ah_v_er th_ih_ng_k_s ah_v dh_iy_z th_ih_ng_z
e;9;the first time you came back for coffee;dh_ah f_er_s_t t_ay_m y_uw k_ey_m b_ae_k f_ao_r k_aa_f_iy
d;13;and my head against your pillow;ah_n_d m_ay hh_eh_d ah_g_eh_n_s_t y_ao_r p_ih_l_ow
a;0;you and I are victims of a love;y_uw ah_n_d ay er v_ih_k_t_ah_m_z ah_v ey l_ah_v
g;23;our love went flat just like that;aw_r l_ah_v w_eh_n_t f_l_ae_t jh_ah_s_t l_ay_k dh_ae_t
f;22;too early in the journey;t_uw er_l_iy ih_n dh_ah jh_er_n_iy
