Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;29;rented tuxedo and wilted corsage in my hand;r_eh_n_t_ah_d t_ah_k_s_iy_d_ow ah_n_d w_ih_l_t_ah_d k_ao_r_s_aa_zh ih_n m_ay hh_ae_n_d
l;23;now Angela (is) broken for;n_aw ae_n_jh_ah_l_ah ih_z b_r_ow_k_ah_n f_ao_r
c;9;though she-s pregnant (as) can be;dh_ow s_hh_iy_z p_r_eh_g_n_ah_n_t ae_z k_ah_n b_iy
f;28;now out in the cold the loneliest fool ever then;n_aw aw_t ih_n dh_ah k_ow_l_d dh_ah l_ow_n_l_iy_s_t f_uw_l eh_v_er dh_eh_n
a;3;so Im stuck here shaking hands;s_ow ay_m s_t_ah_k hh_ih_r sh_ey_k_ih_ng hh_ae_n_d_z
a;16;i will be asking Angela;ay w_ah_l b_iy ae_s_k_ih_ng ae_n_jh_ah_l_ah
d;36;its in the stars above;ih_t_s ih_n dh_ah s_t_aa_r_z ah_b_ah_v
a;19;ive got a shot with Angela;ay_v g_aa_t ah sh_aa_t w_ih_dh ae_n_jh_ah_l_ah
a;1;michael-s taking Pam;m_ay_k_ah_l_z t_ey_k_ih_ng p_ae_m
b;17;she (is) so divine;sh_iy ih_z s_ow d_ih_v_ay_n
f;25;he asked her over breakfast;hh_iy ae_s_k_t hh_er ow_v_er b_r_eh_k_f_ah_s_t
d;35;they will fall in love;dh_ey w_ah_l f_aa_l ih_n l_ah_v
b;18;i will make her mine;ay w_ah_l m_ey_k hh_er m_ay_n
f;32;she-s with someone else;s_hh_iy_z w_ih_dh s_ah_m_w_ah_n eh_l_s
e;21;and I am a boy;ah_n_d ay ae_m ey b_oy
e;20;she-s desperate for a boy;s_hh_iy_z d_eh_s_p_ax_r_ax_t f_ao_r ah b_oy
g;0;victor-s taking Monica;v_ih_k_t_er_z t_ey_k_ih_ng m_aa_n_ih_k_ah
c;26;she blushed and then agreed;sh_iy b_l_ah_sh_t ah_n_d dh_eh_n ah_g_r_iy_d
i;8;britneys looking beautiful;b_r_ih_t_n_iy_s l_uh_k_ih_ng b_y_uw_t_ah_f_ah_l
c;13;she never tried seducing the basketball team;sh_iy n_eh_v_er t_r_ay_d s_ah_d_uw_s_ih_ng dh_ah b_ae_s_k_ah_t_b_ao_l t_iy_m
a;34;he will be dancing with Angela;hh_iy w_ah_l b_iy d_ae_n_s_ih_ng w_ih_dh ae_n_jh_ah_l_ah
b;6;till the girls can see the beauty thats buried inside;t_ih_l dh_ah g_er_l_z k_ah_n s_iy dh_ah b_y_uw_t_iy dh_ae_t_s b_eh_r_iy_d ih_n_s_ay_d
d;10;her dress wrapped round her (tummy-tum);hh_er d_r_eh_s r_ae_p_t r_aw_n_d hh_er t_ah_m_iy_t_ah_m
m;24;she-s accompanying Hakeem;s_hh_iy_z ah_k_ah_m_p_ah_n_iy_ih_ng 
h;2;but nobody has asked me;b_ah_t n_ow_b_ah_d_iy hh_ah_z ao_s_k_t m_iy
c;14;finding a boy wasn-t hard for the homecoming queen;f_ay_n_d_ih_ng ah b_oy w_oh_z_n_t hh_aa_r_d f_ao_r dh_ah hh_ow_m_k_ah_m_ih_ng k_w_iy_n
c;11;so that everyone can see;s_ow dh_ae_t eh_v_r_iy_w_ah_n k_ah_n s_iy
f;33;im all by myself;ay_m ao_l b_ay m_ay_s_eh_l_f
b;5;ill never be the apple of anyone-s eye;ay_l n_eh_v_er b_iy dh_ah ae_p_ah_l ah_v eh_n_iy_w_ah_n_z ay
a;31;i will be taking Angela;ay w_ah_l b_iy t_ey_k_ih_ng ae_n_jh_ah_l_ah
