Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;8;but you know males;b_ah_t y_uw n_ow m_ey_l_z
m;63;and (as) the world turn;ah_n_d ae_z dh_ah w_er_l_d t_er_n
b;46;now she pulling up to the spot;n_aw sh_iy p_uh_l_ih_ng ah_p t_uw dh_ah s_p_aa_t
h;44;like the journeys decreed;l_ay_k dh_iy jh_er_n_iy_z d_ih_k_r_iy_d
o;43;nearing her destination;n_ih_r_ih_ng hh_er d_eh_s_t_ah_n_ey_sh_ah_n
n;13;she knew the chick too;sh_iy n_uw dh_ah ch_ih_k t_uw
g;15;that was her one and only;dh_ae_t w_ah_z hh_er w_ah_n ah_n_d ow_n_l_iy
d;36;it told her listen here;ih_t t_ow_l_d hh_er l_ih_s_ah_n hh_ih_r
a;31;now she caught up in the biggest heartbreak in the making;n_aw sh_iy k_aa_t ah_p ih_n dh_ah b_ih_g_ah_s_t hh_aa_r_t_b_r_ey_k ih_n dh_ah m_ey_k_ih_ng
h;19;mascara streaming down her cheek;m_ae_s_k_eh_r_ah s_t_r_iy_m_ih_ng d_aw_n hh_er ch_iy_k
h;21;Cos she done a deed she-d been thinking bout for the week;k_ao_s sh_iy d_ah_n ah d_iy_d s_hh_iy_d b_ih_n th_ih_ng_k_ah_ng b_aw_t f_ao_r dh_ah w_iy_k
e;11;she never did him wrong;sh_iy n_eh_v_er d_ih_d hh_ih_m r_ao_ng
e;50;dragging one on the floor;d_r_ae_g_ih_ng w_ah_n aa_n dh_ah f_l_ao_r
c;71;spend her life with the same man;s_p_eh_n_d hh_er l_ay_f w_ih_dh dh_ah s_ey_m m_ae_n
d;70;lose her V to her dearest;l_uw_z hh_er v_iy t_uw hh_er d_ih_r_ah_s_t
a;29;saw the proposition of love it was for the taking;s_ao dh_ah p_r_aa_p_ah_z_ih_sh_ah_n ah_v l_ah_v ih_t w_ah_z f_ao_r dh_ah t_ey_k_ih_ng
f;12;forever by his side;f_er_eh_v_er b_ay hh_ih_z s_ay_d
p;37;you really think that you can make it all just disappear;y_uw r_ih_l_iy th_ih_ng_k dh_ae_t y_uw k_ah_n m_ey_k ih_t ao_l jh_ah_s_t d_ih_s_ax_p_ia
h;41;but she ain-t tryna heed;b_ah_t sh_iy ey_n_t t_r_ih_n_ah hh_iy_d
