Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;79;im smokin n drivin- ;ay_m s_m_ow_iy_n eh_n  d_r_ay_v_ih_ng_ae
b;3;im gone eat the pussy thats Arby-s;ay_m g_ao_n iy_t dh_ah p_uh_s_iy dh_ae_t_s aa_r_b_iy_z
e;77;my trunk kick;m_ay t_r_ah_ng_k k_ih_k
a;72;we know to put pussy on the pedestal;w_iy n_ow t_uw p_uh_t p_uh_s_iy aa_n dh_ah p_eh_d_ah_s_t_ah_l
b;22;choppers down your block;ch_aa_p_er_z d_aw_n y_ao_r b_l_aa_k
t;67;smoking presidential Kush im illegible;s_m_ow_k_ih_ng p_r_eh_z_ih_d_eh_n_sh_l k_uh_sh ay_m ih_l_eh_jh_ah_b_ah_l
a;66;so many carrots in my chain I love my vegetables;s_ow m_eh_n_iy k_ae_r_ah_t_s ih_n m_ay ch_ey_n ay l_ah_v m_ay v_eh_jh_t_ah_b_ah_l_z
s;63;smoking on the og of the federal;s_m_ow_k_ih_ng aa_n dh_ah ah_g ah_v dh_ah f_eh_d_ax_r_ax_l
a;69;and my bank account so impeccable;ah_n_d m_ay b_ae_ng_k ah_k_aw_n_t s_ow ih_m_p_eh_k_ah_b_ah_l
a;73;niggas trying to test my nuts but they ain-t testable;n_ih_g_ae_s t_r_ay_ih_ng t_uw t_eh_s_t m_ay n_ah_t_s b_ah_t dh_ey ey_n_t t_eh_s_t_ey_b_ah_l
d;51;this dumb shit;dh_ih_s d_ah_m sh_iy_t
d;31;oh my god im the shit;ow m_ay g_aa_d ih_m dh_ah sh_iy_t
b;10;and I just missed my plane I forgot what time it departed;ah_n_d ay jh_ah_s_t m_ih_s_t m_ay p_l_ey_n ay f_er_g_aa_t w_ah_t t_ay_m ih_t d_ah_p_aa_r_t_ah_d
d;18;this dumb shit;dh_ih_s d_ah_m sh_iy_t
c;30;3 bitches with me meet a vertigo and a cancer;ah_ae b_ih_ch_ah_z w_ih_dh m_iy m_iy_t ah v_er_t_ih_g_ow ah_n_d ey k_ae_n_s_er
e;15;my trunk kick;m_ay t_r_ah_ng_k k_ih_k
e;48;my trunk kick;m_ay t_r_ah_ng_k k_ih_k
a;65;falling on you fuck niggas suck my testicles;f_aa_l_ih_ng aa_n y_uw f_ah_k n_ih_g_ae_s s_ah_k m_ay t_eh_s_t_ih_k_ah_l_z
b;2;dearly departed ill leave you where you started;d_ih_r_l_iy d_ah_p_aa_r_t_ah_d ay_l l_iy_v y_uw w_eh_r y_uw s_t_aa_r_t_ah_d
b;9;smoking og barking on Charlotte;s_m_ow_k_ih_ng ah_g b_aa_r_k_ih_ng aa_n sh_aa_r_l_ah_t
a;24;dumb shit x7;d_ah_m sh_iy_t eh_k_s_ae
q;60;i don-t know what the fuck these bitches telling you;ay d_ow_n_t n_ow w_ah_t dh_ah f_ah_k dh_iy_z b_ih_ch_ah_z t_eh_l_ih_ng y_uw
i;82;automatic;ao_t_ax_m_ae_t_ih_k
h;27;im blocking hoes like my pipe;ih_m b_l_aa_k_ih_ng hh_ow_z l_ay_k m_ay p_ay_p
d;80;this dumb shit;dh_ih_s d_ah_m sh_iy_t
a;0;well;w_eh_l
m;20;automatic;ao_t_ax_m_ae_t_ih_k
p;44;i got 2 foreign hoes with me oops;ay g_aa_t ah_ae f_ao_r_ah_n hh_ow_z w_ih_dh m_iy uw_p_s
g;81;that shoe gun;dh_ae_t sh_uw g_ah_n
b;5;and my house a mother fucking bitch like the madison square garden;ah_n_d m_ay hh_aw_s ah m_ah_dh_er f_ah_k_ih_ng b_ih_ch l_ay_k dh_ah m_ae_d_ah_s_ah_n s_k_w_eh_r g_aa_r_d_ah_n
c;33;and im smoking a whole bunch of drugs I keep it wood filed like a camper;ah_n_d ay_m s_m_ow_k_ih_ng ah hh_ow_l b_ah_n_ch ah_v d_r_ah_g_z ay k_iy_p ih_t w_uh_d f_ay_l_d l_ay_k ah k_ae_m_p_er
a;70;barred up like the jail no correctional;b_aa_r_d ah_p l_ay_k dh_ah jh_ey_l n_ow k_er_eh_k_sh_ah_n_ah_l
q;59;first two im getting revenue;f_er_s_t t_uw ih_m g_eh_t_ih_ng r_eh_v_ax_n_y_uw
h;42;im always smoking so I guess im always on the rise;ih_m ao_l_w_ey_z s_m_ow_k_ih_ng s_ow ay g_eh_s ih_m ao_l_w_ey_z aa_n dh_ah r_ay_z
i;1;iyess 2;ih_iy_ax_s ah_ae
f;17;im smokin n drivin- ;ay_m s_m_ow_iy_n eh_n  d_r_ay_v_ih_ng_ae
h;45;yes im bout to collide;y_eh_s ih_m b_aw_t t_uw k_ah_l_ay_d
u;68;and big trash niggas not acceptable;ah_n_d b_ih_g t_r_ae_sh n_ih_g_ae_s n_ax_t ax_k_s_eh_p_t_ax_b_l
