Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;13;i hit the fucking bong let my mind elevate;ay hh_ih_t dh_ah f_ah_k_ih_ng b_aa_ng l_eh_t m_ay m_ay_n_d eh_l_ah_v_ey_t
b;11;i roll a fucking blunt while getting dressed if you ain-t know;ay r_ow_l ah f_ah_k_ih_ng b_l_ah_n_t w_ay_l g_eh_t_ih_ng d_r_eh_s_t ah_f y_uw ey_n_t n_ow
b;5;coughing off that purple smoke;k_aa_f_ih_ng ao_f dh_ah_t p_er_p_ah_l s_m_ow_k
c;17;she gone roll it up and we gone smoke it up;sh_iy g_ao_n r_ow_l ih_t ah_p ah_n_d w_iy g_ao_n s_m_ow_k ih_t ah_p
a;4;all I Do (is) Smoke x3;ao_l ay d_uw ah_z s_m_ow_k eh_k_s_ae
a;2;all I Do (is) Smoke x3;ao_l ay d_uw ah_z s_m_ow_k eh_k_s_ae
e;14;i be getting so damn high till I just procrastinate;ay b_iy g_eh_t_ih_ng s_ow d_ae_m hh_ay t_ih_l ay jh_ah_s_t p_r_ah_k_r_ae_s_t_ah_n_ey_t
b;9;im rollin up cause all I do (is) smoke;ay_m r_aa_l_ih_n ah_p k_aa_z ao_l ay d_uw ih_z s_m_ow_k
c;21;you ain-t on my level roll a plane come take a flight with us;y_uw ey_n_t aa_n m_ay l_eh_v_ah_l r_ow_l ah p_l_ey_n k_ah_m t_ey_k ah f_l_ay_t w_ih_dh ah_s
b;3;fucking up the room with smoke;f_ah_k_ih_ng ah_p dh_iy r_uw_m w_ah_dh s_m_ow_k
c;19;i heard you smoking dust boy don-t pass that shit to us;ay hh_er_d y_uw s_m_ow_k_ih_ng d_ah_s_t b_oy d_ow_n_t p_ae_s dh_ae_t sh_iy_t t_uw ah_s
a;6;all I Do (is) Smoke x3;ao_l ay d_uw ah_z s_m_ow_k eh_k_s_ae
c;18;smell it Yeah you know its us;s_m_eh_l ih_t y_ae y_uw n_ow ih_t_s ah_s
b;7;i get high and I stay low;ay g_ih_t hh_ay ah_n_d ay s_t_ey l_ow
g;16;if Im on my (lazy-boy) then I pass it to my queen;ah_f ay_m aa_n m_ay l_ey_z_iy_b_oy dh_eh_n ay p_ae_s ih_t t_uw m_ay k_w_iy_n
f;15;cause I roll it like a saint yeah I roll it like a king;k_aa_z ay r_ow_l ih_t l_ay_k ah s_ey_n_t y_ae ay r_ow_l ih_t l_ay_k ah k_ih_ng
c;20;she wanna split my dutch cause she want get high (as) fuck;sh_iy w_aa_n_ah s_p_l_ih_t m_ay d_ah_ch k_aa_z sh_iy w_aa_n_t g_eh_t hh_ay ae_z f_ah_k
a;12;i stuff the fucking blunt now I got weed all on the (flo-);ay s_t_ah_f dh_ah f_ah_k_ih_ng b_l_ah_n_t n_aw ay g_aa_t w_iy_d ao_l aa_n dh_ah f_l_ow_eh
b;10;i wake up in the morning grab my lighter then I smoke;ay w_ey_k ah_p ih_n dh_ah m_ao_r_n_ih_ng g_r_ae_b m_ay l_ay_t_er dh_eh_n ay s_m_ow_k
d;1;cop a dutch and roll a dro;k_aa_p ey d_ah_ch ah_n_d r_ow_l ey d_r_ay_v_oh
a;0;all I Do (is) Smoke x3;ao_l ay d_uw ah_z s_m_ow_k eh_k_s_ae
