Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;gimmie lights and some cameras and then Ill get to action;s_ih_m_iy l_ay_t_s ah_n_d s_ah_m k_ae_m_er_ah_z ah_n_d dh_eh_n ay_l g_eh_t t_uw ae_k_sh_ah_n
e;1;put me on a record I won-t hesitate to smash it;p_uh_t m_iy aa_n ah r_eh_k_ao_d ay w_ow_n_t hh_eh_z_ah_t_ey_t t_uw s_m_ae_sh ih_t
b;2;theyre running from the truth theyre tryna get past us;dh_ey_r r_ah_n_ih_ng f_r_ah_m dh_ah t_r_uw_th dh_ey_r t_r_ih_n_ah g_eh_t p_ae_s_t ah_s
a;3;they can-t get no farther theyre kinda like bastards;dh_ey k_ae_n_t g_eh_t n_ow f_aa_r_dh_er dh_ey_r k_ih_n_d_ah l_ay_k b_ae_s_t_er_d_z
a;4;yeah I said that with an asterisk;y_ae ay s_eh_d dh_ae_t w_ih_dh ae_n ae_s_t_er_ih_s_k
a;5;im well aware it sounded a lil backwards;ay_m w_eh_l ah_w_eh_r ih_t s_aw_n_d_ah_d ah l_ih_l b_ae_k_w_er_d_z
a;6;why You so fly thats what x y asks;w_ay y_uw s_ow f_l_ay dh_ae_t_s w_ah_t eh_k_s w_ay ae_s_k_s
b;7;sitting in their Cartesian plane tryna catch up;s_ih_t_ih_ng ih_n dh_eh_r  p_l_ey_n t_r_ih_n_ah k_ae_ch ah_p
a;8;lets take it way back to when it was Jurassic;w_iy_s t_ey_k ih_t w_ey b_ae_k t_uw w_eh_n ih_t w_ah_z jh_uh_r_ae_s_ih_k
b;9;with all the wild animals trying to attack us;w_ih_dh ao_l dh_ah w_ay_l_d ae_n_ah_m_ah_l_z t_r_ay_ih_ng t_uw ah_t_ae_k ah_s
f;10;do you hear these rappers talking bout theyre hot like;d_uw y_uw hh_ih_r dh_iy_z r_ae_p_er_z t_ao_k_ih_ng b_aw_t dh_ey_r hh_aa_t l_ay_k
a;11;something Something degrees well Im on my masters;s_ah_m_th_ih_ng s_ah_m_th_ih_ng d_ih_g_r_iy_z w_eh_l ay_m aa_n m_ay m_ae_s_t_er_z
a;12;see what happened to Moses they put-em in a basket;s_iy w_ah_t hh_ae_p_ah_n_d t_uw m_ow_z_ah_s dh_ey p_uh_t_er_m ih_n ah b_ae_s_k_ah_t
a;13;but hell later become the leader of the masses;b_ah_t hh_iy_l l_ey_t_er b_ih_k_ah_m dh_ah l_iy_d_er ah_v dh_ah m_ae_s_ah_z
a;14;every man dies its ashes to ashes;eh_v_er_iy m_ae_n d_ay_z ih_t_s ae_sh_ah_z t_uw ae_sh_ah_z
a;15;they put-em in the ground but heaven (is) where he crashes;dh_ey p_uh_t_er_m ih_n dh_ah g_r_aw_n_d b_ah_t hh_eh_v_ah_n ih_z w_eh_r hh_iy k_r_ae_sh_ah_z
c;17;last night I was with a couple friends;l_ae_s_t n_ay_t ay w_ah_z w_ih_dh ah k_ah_p_ah_l f_r_eh_n_d_z
a;18;and they told me if I really wanted to make a couple grands;ah_n_d dh_ey t_ow_l_d m_iy ah_f ay r_ih_l_iy w_oh_n_t_ih_d t_uw m_ey_k ah k_ah_p_ah_l g_r_ae_n_d_z
c;19;then Id have to stop the abr ɔ fos ɛ m follow the trend;dh_eh_n ay_d hh_ae_v t_uw s_t_aa_p dh_ah ae_b_l ah_ae f_aa ah_ae eh_m f_aa_l_ow dh_ah t_r_eh_n_d
a;20;and do the azonto dance;ah_n_d d_uw dh_ah ah_z_oh_n_t_ax d_ae_n_s
g;21;changing the game thats what Im here for;ch_ey_n_jh_ih_ng dh_ah g_ey_m dh_ae_t_s w_ah_t ay_m hh_ih_r f_ao_r
c;22;tell-em rappers runway like the airport;t_m_er r_ae_p_er_z r_ah_n_w_ey l_ay_k dh_ah eh_r_p_ao_r_t
d;23;play a beat with a sneer and a weird chord;p_l_ey ah b_iy_t w_ih_dh ah s_n_ih_r ah_n_d ah w_ih_r_d k_ao_r_d
d;24;gimmie bass I love my kicks like air Jordan-s;s_ih_m_iy b_ae_s ay l_ah_v m_ay k_ih_k_s l_ay_k eh_r jh_ao_r_d_ah_n_z
d;25;while you there yawning Ill be here recording;w_ay_l y_uw dh_eh_r y_ow_n_ih_ng ay_l b_iy hh_ih_r r_ah_k_ao_r_d_ih_ng
h;26;very soon Ill be all over the world touring;v_eh_r_iy s_uw_n ay_l b_iy ao_l ow_v_er dh_ah w_er_l_d t_uh_r_ih_ng
e;27;i hit the stage and (as) I appear on it;ay hh_ih_t dh_ah s_t_ey_jh ah_n_d ae_z ay ah_p_ih_r aa_n ih_t
i;28;i tell the fans to put their hands in the air for me;ay t_eh_l dh_ah f_ae_n_z t_uw p_uh_t dh_eh_r hh_ae_n_d_z ih_n dh_ah eh_r f_ao_r m_iy
l;29;now Im everywhere a speaker (is);n_aw ay_m eh_v_r_iy_w_eh_r ah s_p_iy_k_er ih_z
c;30;a dreamer but Im nothing like these sleepy heads;ah d_r_iy_m_er b_ah_t ay_m n_ah_th_ih_ng l_ay_k dh_iy_z s_l_iy_p_iy hh_eh_d_z
m;31;shouts out to all the listeners;sh_aw_t_s aw_t t_uw ao_l dh_ah l_ih_s_ah_n_er_z
n;32;i was ushered into the game;ay w_ah_z ah_sh_er_d ih_n_t_uw dh_ah g_ey_m
e;33;and Now Im feeling Justin Bieberish;ah_n_d n_aw ay_m f_iy_l_ih_ng jh_ah_s_t_ah_n B_ih_eh_b_er_r_ax_sh
