Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;57;west end Mabelle Reality Check;w_eh_s_t eh_n_d m_ah_b_eh_l r_iy_ae_l_ah_t_iy ch_eh_k
e;11;im the ballistic mystic every track Im spitting (is) cryptic;ay_m dh_ah b_ah_l_ih_s_t_ih_k m_ih_s_t_ih_k eh_v_er_iy t_r_ae_k ay_m s_p_ih_t_ih_ng ih_z k_r_ih_p_t_ih_k
e;50;i know many a man who stash crack and pack pistols;ay n_ow m_eh_n_iy ah m_ae_n hh_uw s_t_ae_sh k_r_ae_k ah_n_d p_ae_k p_ih_s_t_ah_l_z
b;2;yeah yeah Im on U of T and York;y_ae y_ae ay_m aa_n ih_k ah_v t_iy ah_n_d y_ao_r_k
a;38;deeper than an amniocentesis on the fetus of Jesus;d_iy_p_er dh_ae_n ae_n ae_m_n_iy_ow_s_eh_n_t_iy_s_ah_s aa_n dh_ah f_iy_t_ah_s ah_v jh_iy_z_ah_s
c;4;rhyming lecture yeah yeah this be for real and f (*) ck rap;r_ay_m_ih_ng l_eh_k_ch_er y_ae y_ae dh_ah_s b_iy f_r_er r_iy_l ah_n_d eh_f ah_ae g_k r_ae_p
d;7;with Every one of their intricate (half-ass) plans shows;w_ih_dh eh_v_er_iy w_ah_n ah_v dh_eh_r ih_n_t_r_ah_k_ah_t hh_ae_f_ae_s p_l_ae_n_z sh_ow_z
b;20;brain or Braun My brain (is) Braun;b_r_ey_n ao_r b_r_ao_n m_ay b_r_ey_n ih_z b_r_ao_n
m;9;im gon na seal Your crypt deal with it read me like an;ay_m g_aa_n n_aa s_iy_l y_ao_r k_r_ih_p_t d_iy_l w_ah_dh ah_t r_iy_d m_iy l_ay_k ah_n
g;23;my brain (is) braun can-t sell it Out;m_ay b_r_ey_n ih_z b_r_ao_n k_ae_n_t s_eh_l ih_t aw_t
e;55;never dumb it down cause My pride (is) in my intellect;n_eh_v_er d_ah_m ih_t d_aw_n k_aa_z m_ay p_r_ay_d ih_z ih_n m_ay ih_n_t_ah_l_eh_k_t
o;12;except this accept it or Ill Take your wack record and wreck it;ih_k_s_eh_p_t dh_ih_s ax_k_s_eh_p_t ih_t ao_r ay_l t_ey_k y_ao_r w_ae_k r_eh_k_ao_d ah_n_d r_eh_k ih_t
l;8;that can ever make me move from where Im standing woah;dh_ae_t k_ah_n eh_v_er m_ey_k m_iy m_uw_v f_r_ah_m w_eh_r ay_m s_t_ae_n_d_ih_ng w_oh_ax_hh
i;59;catch me in the ends rolling up with the pirates;k_ae_ch m_iy ih_n dh_ah eh_n_d_z r_ow_l_ih_ng ah_p w_ih_dh dh_ah p_ay_r_ah_t_s
t;27;i came from the firmament;ay k_ey_m f_r_ah_m dh_ah f_er_m_ey1_m_n_t
a;37;deeper than Stanton Friedman;d_iy_p_er dh_ae_n s_t_ae_n_t_ah_n f_r_iy_d_m_ah_n
o;40;its So egregious they can-t believe it;ih_t_s s_ow ih_g_r_iy_jh_ah_s dh_ey k_ae_n_t b_ah_l_iy_v ih_t
d;6;no English Soviet Taliban or American goes;n_ow ih_ng_g_l_ih_sh s_ow_v_iy_ah_t t_ae_l_ah_b_ae_n ao_r ah_m_eh_r_ah_k_ah_n g_ow_z
d;46;now I plan for the future live for the moment;n_aw ay p_l_ae_n f_ao_r dh_ah f_y_uw_ch_er l_ay_v f_ao_r dh_ah m_ow_m_ah_n_t
h;53;i put it in to words but don-t place me on a pedestal;ay p_uh_t ih_t ih_n t_uw w_er_d_z b_ah_t d_ow_n_t p_l_ey_s m_iy aa_n ah p_eh_d_ah_s_t_ah_l
w;35;thinking im cheef keef bleep bleep keep listening;th_ih_ng_k_ah_ng ih_m ch_ey_er_f k_iy_f b_l_iy_p b_l_iy_p k_iy_p l_ih_s_n_ih_ng
s;26;knows My verbiage (is) superfluous;n_ow_z m_ay v_er_b_iy_ih_jh ih_z s_uw_p_er_f_l_w_ah_s
r;25;every journalist Im conversing with;eh_v_er_iy jh_er_n_ah_l_ah_s_t ay_m k_ah_n_v_er_s_ih_ng w_ih_dh
c;3;keele Campus map;k_iy_l k_ae_m_p_ah_s m_ae_p
i;44;ive invested my time and drawn the fine line;ay_v ih_n_v_eh_s_t_ah_d m_ay t_ay_m ah_n_d d_r_ao_n dh_ah f_ay_n l_ay_n
e;32;breath control like a rebreather its ridiculous;b_r_eh_th k_ah_n_t_r_ow_l l_ay_k ah r_eh_b_r_eh_ae_th_ax_r ih_t_s r_ah_d_ih_k_y_ah_l_ah_s
a;39;deeper than Trinas vaginal regions;d_iy_p_er dh_ae_n T_r_iy_n_ax_s v_ah_jh_ay_n_ah_l r_iy_jh_ah_n_z
n;10;wide Open book too bad So sad youre illiterate;w_ay_d ow_p_ah_n b_uh_k t_uw b_ae_d s_ow s_ae_d y_uw_r ih_l_ih_t_er_ah_t
h;29;my Cursive script creates life kinda like a hydrothermal vent;m_ay C_ah_r_s_iy_v_ax s_k_r_ih_p_t k_r_iy_ey_t_s l_ay_f k_ih_n_d_ah l_ay_k ah hh_ay_d_r_ow_th_er_m_ah_l v_eh_n_t
a;0;must be video cameras Im causing a scene;m_ah_s_t b_iy v_ih_d_iy_ow k_ae_m_er_ah_z ay_m k_aa_z_ih_ng ey s_iy_n
h;56;never the less I rep for my set;n_eh_v_er dh_ah l_eh_s ay r_eh_p f_ao_r m_ay s_eh_t
p;13;act with knowledge cause y-all sure acknowledge;ae_k_t w_ih_dh n_aa_l_ah_jh k_aa_z y_ao_l sh_uh_r ax_k_n_oh_l_ih_jh
