Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;im sick somewhere I must of caught diseases;ay_m s_ih_k s_ah_m_w_eh_r ay m_ah_s_t ah_v k_aa_t d_ih_z_iy_z_ah_z
b;1;from Marshall cause for some reason I just can-t stop (succeedin-);f_r_ah_m m_aa_r_sh_ah_l k_aa_z f_ao_r s_ah_m r_iy_z_ah_n ay jh_ah_s_t k_ae_n_t s_t_aa_p s_ah_k_s_iy_d_iy_n_eh
a;2;its partially from being lost at sea;ah_t_s p_aa_r_sh_l_iy f_er_m b_iy_ih_ng l_ao_s_t ae_t s_iy
n;3;feeling like I can walk with ease while even being part palegic;f_iy_l_ih_ng l_ay_k ay k_ah_n w_ao_k w_ih_dh iy_z w_ay_l iy_v_ah_n b_iy_ih_ng p_aa_r_t p_ah_l_er_jh_i_c
c;4;im the philosophies prodigy of prophecy like Socrates;ay_m dh_iy f_ah_l_aa_s_ah_f_iy_z p_r_aa_d_ah_jh_iy ah_v p_r_aa_f_ah_s_iy l_ay_k s_aa_k_r_ah_t_iy_z
a;5;a lot to see like world renowned soccer teams;ey l_aa_t t_ah s_iy l_ay_k w_er_l_d r_ah_n_aw_n_d s_aa_k_er t_iy_m_z
c;6;youre probably not following so I soul heartily;y_uw_r p_r_aa_b_ah_b_l_iy n_ax_t f_aa_l_ow_ih_ng s_ow ay s_ow_l hh_aa_r_t_ah_l_iy
d;7;swear weak (is) not me when you think great;s_w_eh_r w_iy_k ih_z n_ax_t m_iy w_eh_n y_uw th_ih_ng_k g_r_ey_t
o;8;well ya thought of me;w_eh_l y_aa th_ao_t ah_v m_iy
c;9;its seems I came into a world in atrocity and possibly;ih_t_s s_iy_m_z ay k_ey_m ih_n_t_uw ah w_er_l_d ih_n ah_t_r_aa_s_ah_t_iy ah_n_d p_aa_s_ah_b_l_iy
c;10;ive subconsciously thought Id stop some policies;ay_v s_ah_b_k_aa_n_sh_ah_s_l_iy th_ao_t ay_d s_t_aa_p s_ah_m p_aa_l_ah_s_iy_z
e;11;that let our politics and politicians start to cop our things;dh_ae_t l_eh_t aw_r p_aa_l_ah_t_ih_k_s ah_n_d p_aa_l_ah_t_ih_sh_ah_n_z s_t_aa_r_t t_uw k_aa_p aw_r th_ih_ng_z
c;12;the war on drugs (is) to put the only dealers in the pharmacies;dh_ah w_ao_r aa_n d_r_ah_g_z ih_z t_uw p_uh_t dh_ah ow_n_l_iy d_iy_l_er_z ih_n dh_ah f_aa_r_m_ah_s_iy_z
c;13;apart from the hypotheses a skill like carpentry or botany;ah_p_aa_r_t f_r_ah_m dh_ah hh_ay_p_aa_th_ah_s_iy_z ah s_k_ih_l l_ay_k k_aa_r_p_ah_n_t_r_iy ao_r b_aa_t_ah_n_iy
c;14;(is) probably the most valuable thing like property;ih_z p_r_aa_b_ah_b_l_iy dh_ah m_ow_s_t v_ae_l_y_uw_b_ah_l th_ih_ng l_ay_k p_r_aa_p_er_t_iy
o;15;trust me Im honest constantly Pardon me;t_r_ah_s_t m_iy ay_m aa_n_ah_s_t k_aa_n_s_t_ah_n_t_l_iy p_aa_r_d_ah_n m_iy
f;16;im just lost for words and paused perturb my apologies;ay_m jh_ah_s_t l_ao_s_t f_ao_r w_er_d_z ah_n_d p_ao_z_d p_er_t_er_b m_ay ah_p_aa_l_ah_jh_iy_z
e;18;but Ill still sing;b_ah_t ay_l s_t_ih_l s_ih_ng
b;20;be da bop x4;b_iy d_ae b_aa_p eh_k_s_ae
p;21;this needs to stop this need or thought that lets the people to be beat by;dh_ih_s n_iy_d_z t_uw s_t_aa_p dh_ih_s n_iy_d ao_r th_ao_t dh_ae_t l_eh_t_s dh_ah p_iy_p_ah_l t_uw b_iy b_iy_t b_ay
c;22;cops;k_aa_p_s
q;23;its almost like no matter what they couldn-t give a shit if were pleased or;ih_t_s ao_l_m_ow_s_t l_ay_k n_ow m_ae_t_er w_ah_t dh_ey k_uh_d_n_t g_ih_v ah sh_iy_t ah_f w_iy_r p_l_iy_z_d ao_r
r;24;not;n_ax_t
c;25;(as) useless (as) tooth less shark prove that you can have a new fresh start;ae_z y_uw_s_l_ah_s ae_z t_uw_th l_eh_s sh_aa_r_k p_r_uw_v dh_ae_t y_uw k_ah_n hh_ae_v ah n_y_uw f_r_eh_sh s_t_aa_r_t
b;26;be da bop x4;b_iy d_ae b_aa_p eh_k_s_ae
c;27;at three my moms would read some awful story about how to beat the odds;ae_t th_r_iy m_ay m_aa_m_z w_uh_d r_iy_d s_ah_m aa_f_ah_l s_t_ao_r_iy ah_b_aw_t hh_aw t_uw b_iy_t dh_ah aa_d_z
c;28;ive tried to be the man that she could look up at and see in stars;ay_v t_r_ay_d t_ah b_iy dh_iy m_ae_n dh_ae_t sh_iy k_uh_d l_uh_k ah_p ae_t ah_n_d s_iy ih_n s_t_aa_r_z
c;29;but now I bet she looks down on me ever since Ive seized this art;b_ah_t n_aw ay b_eh_t sh_iy l_uh_k_s d_aw_n aa_n m_iy eh_v_er s_ih_n_s ay_v s_iy_z_d dh_ih_s aa_r_t
s;31;my childhood was something more like now you should;m_ay ch_ay_l_d_hh_uh_d w_ah_z s_ah_m_th_ih_ng m_ao_r l_ay_k n_aw y_uw sh_uh_d
g;32;stay in the shallow pool of life like the way a coward would;s_t_ey ih_n dh_ah sh_ae_l_ow p_uw_l ah_v l_ay_f l_ay_k dh_ah w_ey ah k_aw_er_d w_uh_d
g;33;had to make myself strong like pallet wood;hh_ae_d t_uw m_ey_k m_ay_s_eh_l_f s_t_r_ao_ng l_ay_k p_ae_l_ah_t w_uh_d
h;34;cause the weight of the world (is) heavy Im finna break this stool;k_aa_z dh_ah w_ey_t ah_v dh_ah w_er_l_d ih_z hh_eh_v_iy ay_m f_ih_n_ae b_r_ey_k dh_ih_s s_t_uw_l
h;35;oh well only one carrying it so I guess I look a fool;ow w_eh_l ow_n_l_iy w_ah_n k_ae_r_iy_ih_ng ih_t s_ow ay g_eh_s ay l_uh_k ah f_uw_l
h;36;mistook for cool one of the worn out old rusty useless tools;m_ih_s_t_uh_k f_ao_r k_uw_l w_ah_n ah_v dh_ah w_ao_r_n aw_t ow_l_d r_ah_s_t_iy y_uw_s_l_ah_s t_uw_l_z
h;37;do you know how it feels being told yous a fool;d_uw y_uw n_ow hh_aw ih_t f_iy_l_z b_iy_ih_ng t_ow_l_d y_uw_z ah f_uw_l
h;38;cause youre always tryna find a way everybody-s beautiful;k_aa_z y_uw_r ao_l_w_ey_z t_r_ih_n_ah f_ay_n_d ah w_ey eh_v_r_iy_b_aa_d_iy_z b_y_uw_t_ah_f_ah_l
