Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;12;im made in Chernobyl thats everyones guess;ay_m m_ey_d ih_n ch_er_n_ow_b_ah_l dh_ae_t_s eh_v_er_iy_w_ah_n_z g_eh_s
a;2;its All Wrong;ih_t_s ao_l r_ao_ng
a;9;suddenly its all wrong;s_ah_d_ah_n_l_iy ih_t_s ao_l r_ao_ng
b;4;ill bring you roses Ill spit on your chest;ay_l b_r_ih_ng y_uw r_ow_z_ah_z ay_l s_p_ih_t aa_n y_ao_r ch_eh_s_t
a;16;suddenly its all wrong;s_ah_d_ah_n_l_iy ih_t_s ao_l r_ao_ng
a;6;its All Wrong;ih_t_s ao_l r_ao_ng
c;8;suddenly theres light that hides your face erase it;s_ah_d_ah_n_l_iy dh_eh_r_s l_ay_t dh_ae_t hh_ay_d_z y_ao_r f_ey_s ih_r_ey_s_ah ih_t
b;5;i wear my heart on a (bullet-proof) vest;ay w_eh_r m_ay hh_aa_r_t aa_n ah b_uh_l_ah_t_p_r_uw_f v_eh_s_t
a;0;i hang with stalkers cause theyre never a bore;ay hh_ae_ng w_ih_dh s_t_ao_k_er_z k_aa_z dh_ey_r n_eh_v_er ah b_ao_r
c;15;suddenly theres light that hides your face erase it;s_ah_d_ah_n_l_iy dh_eh_r_s l_ay_t dh_ae_t hh_ay_d_z y_ao_r f_ey_s ih_r_ey_s_ah ih_t
a;13;its All Wrong;ih_t_s ao_l r_ao_ng
a;1;i play piano for the babies of war;ay p_l_ey p_ih_ae_n_ow f_ao_r dh_ah b_ey_b_iy_z ah_v w_ao_r
b;11;im made of honor im made of the best;ay_m m_ey_d ah_v aa_n_er ay_m m_ey_d ah_v dh_ah b_eh_s_t
