Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;audio killer;aa_d_iy_ow k_ih_l_er
a;2;audio killer;aa_d_iy_ow k_ih_l_er
a;4;audio killer;aa_d_iy_ow k_ih_l_er
a;6;audio killer;aa_d_iy_ow k_ih_l_er
b;8;audio;aa_d_iy_ow
c;10;got so much blood on my hands that my conscience stained;g_aa_t s_ow m_ah_ch b_l_ah_d aa_n m_ay hh_ae_n_d_z dh_ae_t m_ay k_aa_n_sh_ah_n_s s_t_ey_n_d
b;11;these pages are evidence to confiscate;dh_iy_z p_ey_jh_ah_z aa_r eh_v_ah_d_ah_n_s t_uw k_aa_n_f_ah_s_k_ey_t
l;12;the crowds gather round wanna congregate;dh_ah k_r_aw_d_z g_ae_dh_er r_aw_n_d w_aa_n_ah k_aa_ng_g_r_ah_g_ey_t
c;13;they wanna hear me now and what it (is) that I can say;dh_ey w_aa_n_ah hh_ih_r m_iy n_aw ah_n_d w_ah_t ih_t ih_z dh_ae_t ay k_ah_n s_ey
d;14;to explain myself while Ive been caught red handed;t_uw ih_k_s_p_l_ey_n m_ay_s_eh_l_f w_ay_l ay_v b_ah_n k_aa_t r_eh_d hh_ae_n_d_ah_d
d;15;but they slap me on the wrist like Im Smoky and a Bandit;b_ah_t dh_ey s_l_ae_p m_iy aa_n dh_iy r_ih_s_t l_ay_k ay_m s_m_ow_k_iy ah_n_d ah b_ae_n_d_ah_t
a;16;like Im smoking in abandoned buildings;l_ay_k ay_m s_m_ow_k_ih_ng ih_n ah_b_ae_n_d_ah_n_d b_ih_l_d_ih_ng_z
d;17;i dismantled set on fire then I hitchhike cause Im really left stranded;ay d_ih_s_m_ae_n_t_l_d s_eh_t aa_n f_ay_er dh_eh_n ay hh_ih_ch_hh_ay_k k_aa_z ay_m r_ih_l_iy l_eh_f_t s_t_r_ae_n_d_ah_d
m;18;poor me;p_uh_r m_iy
n;19;my life-s a OD;m_ay l_ay_f_s ah 
m;20;my life-s a high life well you gots to know me;m_ay l_ay_f_s ah hh_ay l_ay_f w_eh_l y_uw g_aa_t_s t_uw n_ow m_iy
m;21;im only so human Skywalker hold me;ay_m ow_n_l_iy s_ow hh_y_uw_m_ax_n  hh_ow_l_d m_iy
o;22;down and don-t forget whos Obi-Wan Kenobi;d_aw_n ah_n_d d_ow_n_t f_ax_g_eh_t hh_uw_s O_n_b K_eh_n_oh_b_ax
a;23;pour me a drink help me to think;p_ao_r m_iy ah d_r_ih_ng_k hh_eh_l_p m_iy t_uw th_ih_ng_k
p;24;show me whats phony the homies didn-t offer going;sh_ow m_iy w_ah_t_s f_ow_n_iy dh_ah hh_aa_m_ah_er_s d_ih_d_n_t ao_f_er g_ow_ih_ng
e;25;escaped and the force (is) leading me to slaughter;ah_s_k_ey_p_t ah_n_d dh_ah f_ao_r_s ih_z l_iy_d_ih_ng m_iy t_uw s_l_ao_t_er
e;26;the brink I can-t kill this feeling any longer;dh_ah b_r_ih_ng_k ay k_ae_n_t k_ih_l dh_ih_s f_iy_l_ih_ng eh_n_iy l_ao_ng_g_er
a;28;audio killer;aa_d_iy_ow k_ih_l_er
a;30;audio killer;aa_d_iy_ow k_ih_l_er
a;32;audio killer;aa_d_iy_ow k_ih_l_er
a;34;audio killer;aa_d_iy_ow k_ih_l_er
b;36;audio;aa_d_iy_ow
b;38;keep me in compact keep me in contact;k_iy_p m_iy ih_n k_oh_m_p_ae_k_t k_iy_p m_iy ih_n k_aa_n_t_ae_k_t
q;39;i been killing before I had me a contract;ay b_ih_n k_ih_l_ih_ng b_ah_f_ao_r ay hh_ae_d m_iy ah k_oh_n_t_r_ae_k_t
r;41;never been (half-stepping) plenty of;n_eh_v_er b_ih_n hh_ae_f_s_t_eh_p_ih_ng p_l_eh_n_t_iy ah_v
f;42;i be with monsters like Ash Ketchum strapped all black weapon;ay b_iy w_ih_dh m_aa_n_s_t_er_z l_ay_k ae_sh k_eh_ch_ah_m s_t_r_ae_p_t ao_l b_l_ae_k w_eh_p_ah_n
